Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Resource_Index,Effort_Score,Challenge_Index
23,84,1,3,False,7,73,1,1,0,1,2,0,3,3,0,1,1,0,67,5,107,4
19,64,1,2,False,8,59,1,1,2,2,2,0,1,4,0,2,2,1,61,5,85,5
24,98,2,2,True,7,91,2,1,2,2,2,0,2,4,0,3,1,0,74,5,124,3
29,89,1,2,True,8,98,2,1,1,2,2,0,1,4,0,1,2,0,71,5,119,5
19,92,2,2,True,6,65,2,1,3,2,3,0,2,4,0,2,1,1,70,5,114,3
19,88,2,2,True,8,89,2,1,3,2,2,0,3,3,0,3,1,0,71,5,110,3
29,84,2,1,True,7,68,1,1,1,1,2,1,2,2,0,1,2,0,67,3,114,4
25,78,1,3,True,6,50,2,1,1,3,3,0,1,2,0,1,3,0,66,7,104,6
17,94,2,3,False,6,80,3,1,0,2,1,1,2,1,0,2,1,0,69,6,111,3
23,98,2,2,True,8,71,2,1,0,3,3,0,3,5,0,1,2,0,72,6,121,4
17,80,1,3,False,8,88,2,0,4,2,3,1,2,4,0,2,2,0,68,5,101,5
17,97,2,3,True,6,87,1,1,2,1,3,1,2,2,0,1,1,0,71,5,116,3
21,83,2,2,True,8,97,1,1,2,2,2,0,3,4,0,1,1,0,70,5,106,3
9,82,2,2,True,8,72,2,1,2,2,2,1,3,3,0,3,1,0,66,5,93,3
10,78,2,3,True,8,74,2,1,1,1,2,1,2,4,0,3,1,0,65,5,89,3
17,68,2,2,False,8,70,2,1,2,2,2,1,3,4,0,1,1,1,64,5,87,3
14,60,2,1,True,10,65,1,1,0,3,2,1,3,3,0,2,1,0,60,5,74,3
22,70,1,2,True,6,82,2,1,1,1,3,0,2,3,0,1,1,1,65,4,93,4
15,80,2,2,True,9,91,1,1,3,1,2,0,3,2,0,2,2,1,67,4,98,4
12,75,2,3,True,7,58,2,1,3,2,2,1,3,4,0,2,1,0,66,6,90,3
29,78,2,2,False,5,99,3,1,0,3,2,0,1,1,0,1,2,1,69,6,107,4
19,99,2,3,False,6,84,2,1,1,2,3,0,2,3,0,1,1,0,72,6,119,3
20,74,2,3,False,8,89,1,1,1,2,2,0,1,2,0,2,2,1,66,6,95,4
11,78,3,2,True,8,100,3,1,1,1,2,0,2,3,0,1,2,0,66,4,90,3
17,65,1,3,True,5,75,2,1,2,1,2,0,3,3,0,1,1,1,63,5,84,4
21,62,3,1,True,6,54,3,1,0,3,3,0,3,3,0,3,3,0,64,5,83,4
13,91,1,2,False,6,90,2,1,1,3,2,0,1,2,1,1,2,1,65,6,105,6
22,83,3,3,True,6,94,2,1,0,3,2,0,2,2,0,2,2,0,71,7,105,3
16,90,2,2,False,4,58,2,1,1,1,2,0,2,3,0,1,2,1,66,4,107,4
18,66,3,3,False,4,51,1,1,2,1,2,1,2,2,0,2,1,0,64,5,86,2
16,83,1,2,False,6,57,2,1,0,3,1,0,3,4,1,1,1,1,63,6,99,5
31,70,2,3,True,7,66,2,1,1,3,2,0,1,3,0,2,1,0,69,7,102,3
20,69,2,2,True,8,96,2,1,2,2,3,0,3,3,0,1,1,0,67,5,91,3
14,60,3,2,False,5,50,2,1,2,2,2,0,2,3,0,2,1,1,61,5,76,2
25,65,3,2,False,5,90,2,1,2,2,2,0,3,3,0,2,2,1,68,5,92,3
13,72,1,2,False,6,93,1,1,1,1,2,0,1,3,0,1,1,0,61,4,86,4
21,65,2,1,True,7,91,1,1,2,2,3,0,3,3,0,1,3,1,64,4,88,5
8,99,2,2,False,9,54,1,1,2,1,2,0,2,5,0,3,1,1,67,4,109,3
12,72,1,2,True,8,84,2,1,1,1,2,0,3,5,0,1,1,1,63,4,85,4
21,65,1,2,True,6,98,1,1,1,2,3,0,1,4,0,1,1,0,64,5,87,4
24,68,3,2,False,8,56,1,1,3,3,3,0,2,1,0,2,1,0,67,6,95,2
21,84,2,2,True,6,52,1,1,1,2,3,0,2,2,1,2,3,1,65,5,106,6
19,63,1,3,False,7,94,2,1,1,2,2,1,3,3,0,1,2,0,64,6,83,5
18,94,2,3,True,7,82,2,1,3,2,2,1,1,2,1,2,1,0,70,6,115,4
11,98,2,2,True,9,82,1,1,1,2,2,1,3,3,0,3,3,0,68,5,110,5
16,70,2,2,True,8,98,2,1,2,2,2,0,3,3,0,1,2,0,65,5,88,4
17,78,2,2,True,6,88,2,1,1,2,3,1,3,3,0,2,1,1,68,5,96,3
26,61,2,1,True,6,70,2,1,2,1,2,0,3,3,0,1,2,1,64,3,89,4
22,86,1,2,True,7,72,1,1,3,1,3,0,3,2,0,1,2,0,68,4,111,5
9,77,2,2,False,5,57,2,1,2,2,3,0,2,3,0,1,1,0,63,5,88,3
22,71,1,2,True,7,65,1,1,1,2,1,0,3,4,0,2,2,0,64,5,94,5
18,68,3,2,False,7,72,2,1,0,2,2,0,2,3,0,2,1,0,64,5,86,2
16,86,1,2,True,8,63,2,1,2,2,2,0,3,4,0,1,1,0,67,5,104,4
24,77,3,1,False,8,96,2,1,0,2,2,0,2,3,0,1,1,1,67,4,101,2
26,67,2,3,True,7,51,1,1,2,3,3,1,2,4,1,3,3,1,66,7,95,6
26,88,2,3,True,5,79,2,1,1,1,3,1,3,4,0,2,2,0,72,5,115,4
15,83,2,3,False,5,89,1,0,1,2,3,0,2,2,1,1,1,1,65,5,99,4
18,94,2,2,True,6,87,3,1,1,2,2,0,3,4,0,1,1,0,71,5,113,3
22,65,3,1,False,8,82,2,1,2,2,3,0,3,1,0,3,1,1,66,4,89,2
26,91,2,1,True,8,71,2,1,0,1,2,1,2,3,0,1,2,0,68,3,117,4
17,87,2,2,False,7,96,2,1,1,3,2,0,1,5,0,3,1,1,70,6,105,3
19,65,2,2,True,10,66,1,1,0,1,2,0,3,3,0,1,2,0,62,4,84,4
13,88,1,3,True,9,88,3,1,2,1,3,1,1,4,0,3,3,0,68,5,103,6
13,78,2,3,True,9,96,3,1,2,1,2,0,2,3,0,2,2,0,67,5,93,4
25,98,1,3,True,8,56,2,0,0,2,3,1,2,3,0,3,1,0,71,5,123,4
28,66,2,3,True,8,97,2,1,0,2,2,0,2,2,0,1,1,0,68,6,94,3
20,86,2,2,True,8,89,2,1,1,1,2,0,1,3,0,3,1,0,69,4,107,3
26,75,1,3,True,4,81,3,1,3,2,3,1,3,2,0,1,2,0,70,6,104,5
22,98,2,3,False,5,69,1,0,1,1,3,0,1,4,0,1,2,1,69,4,121,4
16,73,2,2,False,7,95,2,1,1,1,2,0,1,4,0,2,1,0,65,4,90,3
22,98,2,1,True,7,52,2,0,3,2,2,0,3,3,0,2,1,1,70,3,123,3
29,96,2,1,True,7,72,2,1,1,1,2,0,3,3,0,1,2,0,71,3,126,4
20,71,2,2,True,7,88,2,1,1,1,1,0,2,4,0,2,1,1,65,4,92,3
29,92,1,2,False,4,91,2,1,2,2,2,0,1,1,0,3,1,1,72,5,123,4
4,100,3,3,True,8,60,3,1,0,2,3,1,3,4,0,2,2,0,69,6,104,3
25,70,2,2,False,7,52,2,1,1,2,2,0,3,3,0,3,1,1,66,5,96,3
21,77,1,2,True,7,90,2,1,4,2,2,1,2,3,0,3,2,0,68,5,102,5
18,81,3,1,True,8,71,2,1,0,2,2,0,2,3,0,1,2,1,65,4,99,3
21,72,2,2,True,5,57,2,1,1,3,2,0,2,5,1,2,2,0,64,6,94,5
8,61,2,2,True,7,54,2,1,1,3,2,0,3,3,0,2,1,0,60,6,70,3
19,69,2,3,True,7,82,3,1,1,1,2,0,1,2,0,1,1,0,65,5,89,3
22,71,3,2,False,6,79,3,1,1,1,1,0,3,3,0,1,1,0,66,4,94,2
29,78,3,3,True,4,93,1,1,5,2,3,0,2,3,0,2,1,0,74,6,112,2
17,67,2,2,True,5,52,3,1,2,2,2,1,1,3,0,1,3,1,62,5,86,5
15,95,2,2,False,7,93,2,1,2,1,2,0,3,4,0,2,2,0,70,4,112,4
17,88,2,3,True,7,94,1,1,0,2,2,0,2,3,0,1,1,0,69,6,105,3
25,63,2,3,True,7,72,2,1,3,2,3,1,1,4,0,2,3,0,67,6,91,5
22,86,1,1,False,6,54,2,1,2,2,2,0,2,0,0,1,2,0,64,4,110,5
17,86,2,3,False,5,97,3,1,3,3,2,0,2,3,0,2,1,0,71,7,106,3
23,98,2,1,True,7,54,1,1,0,2,2,0,1,3,0,2,1,1,68,4,121,3
21,60,3,2,False,7,80,2,1,0,2,3,0,2,4,1,2,1,0,64,5,81,3
26,70,2,1,True,8,75,2,1,1,2,1,1,2,4,1,1,3,1,63,4,97,6
16,97,2,2,True,6,92,1,1,0,3,2,1,3,4,0,2,1,0,71,6,113,3
18,97,3,2,True,4,75,1,1,0,1,2,0,3,3,0,1,2,0,69,4,115,3
18,89,3,2,True,4,73,2,1,3,3,2,1,3,2,0,2,1,1,100,6,110,2
11,91,2,2,False,6,94,2,1,3,2,2,0,2,3,0,2,2,0,68,5,105,4
22,64,1,2,False,7,98,1,0,1,2,2,0,1,3,0,1,1,0,62,4,87,4
22,81,2,2,True,7,77,1,1,2,2,2,0,3,3,0,3,3,1,68,5,105,5
20,69,3,3,True,6,73,2,1,2,1,2,1,3,3,0,1,3,0,66,5,91,4
19,67,1,2,False,5,92,3,1,0,2,2,0,3,3,0,2,1,0,64,5,86,4
12,92,2,2,False,4,92,3,1,2,2,3,0,2,3,1,1,2,0,67,5,106,5
17,65,2,3,True,8,66,2,1,1,3,3,0,2,4,1,3,2,1,65,7,83,5
18,79,2,2,True,7,79,2,1,0,1,3,1,2,3,0,2,3,0,65,4,97,5
15,98,3,2,False,6,58,3,1,0,1,3,0,3,3,0,2,1,0,69,4,113,2
19,67,2,2,False,5,82,3,1,1,1,1,1,1,3,0,1,1,0,63,4,87,3
22,99,2,1,True,6,92,1,1,3,2,2,0,1,4,0,3,2,0,72,4,124,4
31,100,2,2,False,7,59,2,1,2,3,3,0,3,5,0,3,2,0,76,6,133,4
21,82,2,3,True,7,66,3,1,3,1,2,0,3,3,1,2,1,1,69,5,106,4
22,67,2,2,True,7,72,3,1,3,1,3,0,3,2,0,3,2,1,67,4,92,4
20,73,3,2,True,9,92,2,1,2,2,3,0,3,3,0,2,1,0,69,5,95,2
8,77,3,2,True,6,87,2,1,0,1,2,0,2,2,0,1,2,0,63,4,85,3
20,72,2,2,False,9,66,2,1,3,1,3,1,3,3,0,3,1,0,67,4,95,3
20,71,1,3,True,7,62,3,1,2,2,2,0,1,5,0,2,1,0,66,6,93,4
35,99,3,3,True,7,85,1,1,2,2,3,1,2,2,0,3,1,1,79,6,136,2
19,66,2,2,False,8,74,2,1,1,3,2,0,2,3,0,1,1,1,64,6,86,3
22,89,3,3,True,6,80,2,1,1,3,3,0,3,3,0,1,1,1,73,7,112,2
20,60,1,3,False,7,82,3,1,2,1,3,0,3,4,1,1,1,0,63,5,82,5
13,84,2,2,False,5,78,2,1,1,1,3,0,3,2,0,1,1,0,65,4,98,3
27,97,1,3,True,8,81,2,1,0,3,2,0,3,5,0,1,1,1,73,7,124,4
25,72,3,3,True,8,94,1,1,2,1,2,1,3,4,0,2,2,1,70,5,99,3
